Rank,Title,Lifetime Gross,Year
1,Star Wars: Episode VII - The Force Awakens,"$936,662,225",2015
2,Avengers: Endgame,"$858,373,000",2019
3,Spider-Man: No Way Home,"$814,115,070",2021
4,Avatar,"$785,221,649",2009
5,Top Gun: Maverick,"$718,732,821",2022
6,Black Panther,"$700,426,566",2018
7,Avatar: The Way of Water,"$684,075,767",2022
8,Avengers: Infinity War,"$678,815,482",2018
9,Titanic,"$674,292,608",1997
10,Jurassic World,"$653,406,625",2015
11,Barbie,"$635,171,975",2023
12,The Avengers,"$623,357,910",2012
13,Star Wars: Episode VIII - The Last Jedi,"$620,181,382",2017
14,Incredibles 2,"$608,581,744",2018
15,The Super Mario Bros. Movie,"$574,934,330",2023
16,The Lion King,"$543,638,043",2019
17,The Dark Knight,"$534,987,076",2008
18,Rogue One: A Star Wars Story,"$533,539,991",2016
19,Star Wars: Episode IX - The Rise of Skywalker,"$515,202,542",2019
20,Beauty and the Beast,"$504,481,165",2017
21,Finding Dory,"$486,295,561",2016
22,Frozen II,"$477,373,578",2019
23,Star Wars: Episode I - The Phantom Menace,"$474,544,677",1999
24,Star Wars: Episode IV - A New Hope,"$460,998,507",1977
25,Avengers: Age of Ultron,"$459,005,868",2015
26,Black Panther: Wakanda Forever,"$453,829,060",2022
27,The Dark Knight Rises,"$448,149,584",2012
28,Shrek 2,"$441,226,247",2004
29,E.T. the Extra-Terrestrial,"$437,141,279",1982
30,Toy Story 4,"$434,038,008",2019
31,Captain Marvel,"$426,829,839",2019
32,The Hunger Games: Catching Fire,"$424,668,047",2013
33,Pirates of the Caribbean: Dead Man's Chest,"$423,315,812",2006
34,The Lion King,"$422,783,777",1994
35,Jurassic World: Fallen Kingdom,"$417,719,760",2018
36,Toy Story 3,"$415,004,880",2010
37,Wonder Woman,"$412,845,172",2017
38,Doctor Strange in the Multiverse of Madness,"$411,331,607",2022
39,Iron Man 3,"$409,013,994",2013
40,Captain America: Civil War,"$408,084,349",2016
41,The Hunger Games,"$408,010,692",2012
42,Jurassic Park,"$407,185,075",1993
43,Spider-Man,"$407,022,860",2002
44,Jumanji: Welcome to the Jungle,"$404,540,171",2017
45,Transformers: Revenge of the Fallen,"$402,111,870",2009
46,Frozen,"$400,953,009",2013
47,Spider-Man: Far from Home,"$390,532,085",2019
48,Guardians of the Galaxy Vol. 2,"$389,813,101",2017
49,Harry Potter and the Deathly Hallows: Part 2,"$381,447,587",2011
50,Spider-Man: Across the Spider-Verse,"$381,311,319",2023
51,Finding Nemo,"$380,843,261",2003
52,Star Wars: Episode III - Revenge of the Sith,"$380,270,577",2005
53,The Lord of the Rings: The Return of the King,"$379,427,292",2003
54,Jurassic World Dominion,"$376,851,080",2022
55,Spider-Man 2,"$373,585,825",2004
56,The Passion of the Christ,"$370,782,930",2004
57,Minions: The Rise of Gru,"$369,695,210",2022
58,The Batman,"$369,345,583",2022
59,The Secret Life of Pets,"$368,384,330",2016
60,Despicable Me 2,"$368,065,385",2013
61,The Jungle Book,"$364,001,123",2016
62,Deadpool,"$363,070,709",2016
63,Guardians of the Galaxy Vol. 3,"$358,995,815",2023
64,Inside Out,"$356,921,711",2015
65,Aladdin,"$355,559,216",2019
66,Furious 7,"$353,007,020",2015
67,Transformers: Dark of the Moon,"$352,390,543",2011
68,American Sniper,"$350,159,020",2014
69,Thor: Love and Thunder,"$343,256,830",2022
70,The Lord of the Rings: The Two Towers,"$342,952,511",2002
71,Zootopia,"$341,268,248",2016
72,The Hunger Games: Mockingjay - Part 1,"$337,135,885",2014
73,Spider-Man 3,"$336,530,303",2007
74,Minions,"$336,045,770",2015
75,Joker,"$335,477,657",2019
