Player,MAT,INNS,NO,RUNS,HS,AVG,BF,SR,100s,50s,6s,4s
1. Sean Williams,7,7,1,600,174,100.00,431,139.21,3,2,13,67
2. Pathum Nissanka,8,8,2,417,104,69.50,475,87.79,2,2,-,55
3. Dimuth Karunaratne,7,7,1,369,103,61.50,416,88.70,1,3,-,35
4. Brandon McMullen,7,7,-,364,136,52.00,410,88.78,2,1,7,42
5. Nicholas Pooran,7,7,2,350,115,70.00,300,116.67,2,-,16,29
6. Shai Hope,7,8,2,342,132,57.00,353,96.88,1,2,8,28
7. Vikramjit Singh,8,8,-,326,110,40.75,371,87.87,1,1,3,38
8. Sikandar Raza,7,6,1,325,102,65.00,279,116.49,1,1,14,28
9. Ayan Khan,7,7,1,315,105,52.50,331,95.17,1,-,6,33
10. Scott Edwards,8,8,3,314,83,62.80,280,112.14,-,4,3,27
11. Max O'Dowd,8,8,-,299,90,37.38,368,81.25,-,2,7,31
12. Richie Berrington,7,7,1,291,127,48.50,351,82.91,1,2,5,23
13. Bas de Leede,7,7,1,285,123,47.50,282,101.06,1,-,6,22
14. Paul Stirling,6,6,-,264,162,44.00,242,109.09,1,1,10,31
15. Brandon King,7,7,-,260,100,37.14,286,90.91,1,1,3,38
16. Craig Ervine,6,6,1,259,121,51.80,293,88.40,1,1,1,38
17. Gajanand Singh,6,6,1,252,101,50.40,276,91.30,1,1,7,22
18. KashyapKumar Prajapati,7,7,-,250,103,35.71,307,81.43,1,1,4,25
19. Shayan Jahangir,5,5,1,242,100,60.50,233,103.86,1,1,6,24
20. George Dockrell,6,5,3,234,91,117.00,270,86.67,-,2,4,16
21. Harry Tector,6,6,-,233,60,38.83,264,88.26,-,3,7,18
22. Curtis Campher,5,4,1,225,120,75.00,201,111.94,1,1,6,21
23. Ryan Burl,7,6,1,225,83,45.00,203,110.84,-,2,9,16
24. Wesley Barresi,8,8,-,223,97,27.88,227,98.24,-,2,4,26
25. Sadeera Samarawickrama,8,6,1,218,82,43.60,229,95.20,-,2,-,22
26. Shoaib Khan,7,7,2,214,52,42.80,259,82.63,-,2,3,21
27. Kushal Bhurtel,6,6,-,213,99,35.50,275,77.45,-,1,3,26
28. Asif Khan,5,5,1,203,151,50.75,228,89.04,1,-,7,17
29. Michael Leask,7,6,1,197,91,39.40,163,120.86,-,1,9,16
30. Aqib Ilyas,7,7,-,192,53,27.43,247,77.73,-,2,2,19
31. Kusal Mendis,8,7,2,191,78,38.20,231,82.68,-,1,1,21
32. Joylord Gumbie,7,7,-,190,78,27.14,277,68.59,-,1,1,19
